Source,Species,Latitud,Longitud,Date,Location,State/Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.994′ N,67°08.455′ W,12-16 May 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,Feb 1933,Barceloneta,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,15 nov 1932,Barceloneta,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,2 jun 1934,Bayamon,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,20-28 May 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,27 May- 13 Jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,5 jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,27 May–13 Jun. 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,3 jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,5 jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.994′ N,"67°08.455′ W,",12–16 May 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°56ʹ08ʺ N,67°11ʹ35ʺ W,20 May 2010,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,1932,Cataño,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,7 nov 2008,Culebra,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,oct 1997,Fajardo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,5 jun 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,4 jul 1997,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,20 jul 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,18 Aug. 1997,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,24 Aug. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,15 Sep. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,19 Sep. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.961° N,66.847° W,19–25 Sep. 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.967° N,66.878° W,19–27 Sep. 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.972° N,66.868° W,19–28 Sep. 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,23 Sep.1997,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,29 Sep. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,16 oct 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,4 nov 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17.84° N,66.86° W,21 Dec. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,May 2006,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,Feb. 2009,Guayanilla,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°11.862′ N,66°56.347′ W,18 jun 2014,Maricao,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,Aug 1969,Mayagüez,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,17-15 Jul 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,12 Aug.–9 Sep. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,9 Sep.–7 Oct. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,4 Nov.–2 Dec. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,17 Jun.–15 Jul. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°02.275′ N,66°38.585′ W,15 Jul.–12 Aug. 2014,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,12 Sep. 2010,Ponce,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°07.4616′ N,66°38.2638′ W,10 Feb.–10 Mar. 2015,Ponce,Puerto Rico
