Source,Species,Latitud,Longitud,Date,Location,State/Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.994′ N,67°08.455′ W,12-16 May 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°45.436′ N,66°53.835′ W,Feb 1933,Barceloneta,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°45.349′ N,66°53.829′ W,15 nov 1932,Barceloneta,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°39.662′ N,66°15.086′ W,2 jun 1934,Bayamon,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,20-28 May 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,27 May- 13 Jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,5 jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,27 May–13 Jun. 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,3 jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.816′ N,67°10.231′ W,5 jun 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.994′ N,67°08.455′ W,12–16 May 2014,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°93.716' N,67°18.975' W,20 May 2010,Cabo Rojo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°43.767′ N,66°14.375′ W,1932,Cataño,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°31.339' N,65°30.562' W,7 nov 2008,Culebra,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°33.504' N,65°65.800' W,oct 1997,Fajardo,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°50.24' N,66°51.36' W,5 jun 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°50.24' N,66°51.36' W,4 jul 1997,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°50.24' N,66°51.36' W,20 jul 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°50.24' N,66°51.36' W,18 Aug. 1997,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°50.24' N,66°51.36' W,24 Aug. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°50.24' N,66°51.36' W,15 Sep. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°50.24' N,66°51.36' W,19 Sep. 1996,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°96.10' N,66°84.70' W,19–25 Sep. 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°96.70' N,66°87.80' W,19–27 Sep. 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°97.20' N,66°86.80' W,19–28 Sep. 1998,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°97.55' N,66°88.82' W,23 Sep.1997,Guánica,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°96.51' N,66°87.67' W,29 Sep. 1996,Guánica,Puerto Rico
